;t;T1;T2;T;p
0;11.5799429;298.8330108;358.9356273;298.8330108;5
1;13.0867203;299.4879518;359.0193434;299.4879518;5
2;14.5358827;300.0308396;359.1033375;300.0308396;5
3;16.0134041;300.713442;359.1370134;300.713442;5
4;17.5013358;301.0847798;359.1538681;301.0847798;5
8;23.3314864;302.8355043;359.2213997;302.8355043;5
12;29.1853685;303.3036715;359.3400154;303.3036715;5
15;33.5540969;303.3695319;359.3910214;303.3695319;5
16;35.0426297;303.3782105;359.4591897;303.3782105;5
20;40.9436451;303.4077403;342.6152588;303.4077403;5
21;42.3846584;303.4146935;359.4250826;303.4146935;5
23;45.2994532;303.4164321;359.4250826;303.4164321;5
24;46.7839043;303.4199096;359.4591897;303.4199096;5
25;48.2854192;303.4251269;359.4250826;303.4251269;5
26;49.7291427;303.4286056;359.4421304;303.4286056;5
27;51.2059091;303.4355646;359.4421304;303.4355646;5
28;52.6909738;303.4338247;359.4762605;303.4338247;5
29;54.1764666;303.4373046;359.4591897;303.4373046;5
30;55.6732451;303.4390448;359.4762605;303.4390448;5
31;57.1258693;303.440785;359.4762605;303.440785;5
32;58.580021;303.4477474;359.4762605;303.4477474;5
33;60.0727637;303.4494882;359.5104367;303.4494882;5
34;61.5263079;303.4494882;359.5275421;303.4494882;5
35;62.9842736;303.4512292;359.5275421;303.4512292;5
36;64.4388731;303.4512292;359.5617877;303.4512292;5
37;65.8981352;303.4529703;359.5275421;303.4529703;5
39;68.8906563;303.4564529;359.5104367;303.4564529;5
40;70.3782467;303.4494882;359.4933428;303.4494882;5
41;71.8363634;303.4529703;359.5104367;303.4529703;5
42;73.3322796;303.4651615;359.5960797;303.4651615;5
43;74.7761905;303.4564529;359.5275421;303.4564529;5
44;76.3016384;303.4512292;359.5275421;303.4512292;5
45;77.759761;303.4547116;359.5789279;303.4547116;5
46;79.2273686;303.4581944;359.5275421;303.4581944;5
47;80.7244682;303.4616777;359.5789279;303.4616777;5
49;83.646673;303.459936;359.5446591;303.459936;5
50;85.1027685;303.4686458;359.5789279;303.4686458;5
51;86.5192049;303.459936;359.5275421;303.459936;5
52;87.9728989;303.4616777;359.5275421;303.4616777;5
53;89.4280358;303.459936;359.5275421;303.459936;5
54;90.8796908;303.459936;359.5275421;303.459936;5
55;92.3560954;303.4651615;359.5617877;303.4651615;5
56;93.8235182;303.4686458;359.5617877;303.4686458;5
57;95.3095889;303.4634196;359.5960797;303.4634196;5
58;96.7265884;303.4669036;359.5789279;303.4669036;5
59;98.1404509;303.4669036;359.6476049;303.4669036;5
60;99.569819;303.4634196;359.6132431;303.4634196;5
61;100.9895472;303.4512292;359.6132431;303.4512292;5
62;102.4110203;303.4460066;359.5617877;303.4460066;5
63;103.8282875;303.4390448;359.5104367;303.4390448;5
64;105.2627295;303.4338247;359.5275421;303.4338247;5
65;106.6785616;303.4338247;359.4591897;303.4338247;5
66;108.0995745;303.4268662;359.4762605;303.4268662;5
67;109.5108982;303.4251269;359.4933428;303.4251269;5
68;110.9333205;303.4233877;359.4933428;303.4233877;5
69;112.3688818;303.4233877;359.4421304;303.4233877;5
70;113.7893844;303.4216486;359.4591897;303.4216486;5
71;115.2133471;303.4199096;359.4421304;303.4199096;5
72;116.6400819;303.4216486;359.4080462;303.4216486;5
73;118.0556189;303.4164321;359.4421304;303.4164321;5
74;119.4746699;303.4216486;359.3910214;303.4216486;5
75;120.9105683;303.4181708;359.4250826;303.4181708;5
76;122.3281176;303.4199096;359.4080462;303.4199096;5
77;123.748462;303.4199096;359.357006;303.4199096;5
78;125.1700074;303.4216486;359.3400154;303.4216486;5
79;126.6064417;303.4181708;359.374008;303.4181708;5
80;128.0314163;303.4233877;359.3230362;303.4233877;5
81;129.4617964;303.4164321;359.3400154;303.4164321;5
82;130.8831187;303.4303452;359.3230362;303.4303452;5
83;132.3064801;303.4373046;359.3400154;303.4373046;5
84;133.7216981;303.4181708;359.3060684;303.4181708;5
85;135.2099196;303.4216486;359.3400154;303.4216486;5
86;136.6280433;303.4199096;359.3230362;303.4199096;5
87;138.0637108;303.4233877;359.3230362;303.4233877;5
88;139.4999758;303.4199096;359.3060684;303.4199096;5
89;140.9150105;303.4268662;359.289112;303.4268662;5
90;142.3333255;303.4251269;359.2721669;303.4251269;5
91;143.77051;303.4251269;359.289112;303.4251269;5
92;145.2091545;303.4251269;359.2552332;303.4251269;5
94;148.0656578;303.4233877;359.2552332;303.4233877;5
95;149.483705;303.4233877;359.289112;303.4233877;5
96;150.9042652;303.4268662;359.2552332;303.4268662;5
97;152.3149714;303.4251269;359.2552332;303.4251269;5
98;153.7324611;303.4233877;359.2721669;303.4233877;5
99;155.1547264;303.4286056;359.2383108;303.4286056;5
100;156.5755447;303.4286056;359.289112;303.4286056;5
101;157.9926443;303.4268662;359.2721669;303.4268662;5
102;159.4142042;303.4286056;359.2383108;303.4286056;5
103;160.8363328;303.4320849;359.2721669;303.4320849;5
104;162.2577697;303.4355646;359.2383108;303.4355646;5
105;163.6735157;303.4320849;359.289112;303.4320849;5
106;165.106038;303.4338247;359.2552332;303.4338247;5
107;166.5125883;303.4355646;359.2383108;303.4355646;5
108;167.9308886;303.440785;359.2383108;303.440785;5
109;169.3487365;303.4390448;359.2552332;303.4390448;5
110;170.7733847;303.440785;359.2552332;303.440785;5
111;172.1955388;303.444266;359.2044999;303.444266;5
112;173.6137185;303.4425254;359.2552332;303.4425254;5
113;175.0446123;303.440785;359.2213997;303.440785;5
114;176.4618413;303.4494882;359.2213997;303.4494882;5
115;177.8859722;303.444266;359.2044999;303.444266;5
116;179.3094418;303.4460066;359.2044999;303.4460066;5
117;180.745392;303.4494882;359.2383108;303.4494882;5
118;182.1626659;303.4547116;359.2044999;303.4547116;5
119;183.5749676;303.4581944;359.2213997;303.4581944;5
120;184.9927962;303.4529703;359.2383108;303.4529703;5
121;186.4221316;303.4686458;359.2044999;303.4686458;5
122;187.8526049;303.4529703;359.2213997;303.4529703;5
123;189.2704532;303.459936;359.2044999;303.459936;5
124;190.6897153;303.4581944;359.2044999;303.4581944;5
125;192.1125258;303.459936;359.2044999;303.459936;5
126;193.5411221;303.4669036;359.1876114;303.4669036;5
127;194.9540451;303.4581944;359.2044999;303.4581944;5
128;196.3716572;303.4686458;359.2044999;303.4686458;5
129;197.7973503;303.4669036;359.1707341;303.4669036;5
130;199.222306;303.4651615;359.2213997;303.4651615;5
131;200.6602937;303.4686458;359.2044999;303.4686458;5
132;202.0812771;303.4669036;359.2044999;303.4669036;5
133;203.4889087;303.4721306;359.2044999;303.4721306;5
134;204.9118728;303.4738731;359.2044999;303.4738731;5
135;206.3445061;303.4756158;359.1876114;303.4756158;5
136;207.7662594;303.4773586;359.1538681;303.4773586;5
137;209.189391;303.4808446;359.1876114;303.4808446;5
138;210.6069674;303.5052598;359.1707341;303.5052598;5
139;212.0357826;303.487818;359.2044999;303.487818;5
140;213.4531731;303.4825877;359.1876114;303.4825877;5
141;214.8729754;303.4825877;359.1876114;303.4825877;5
142;216.2990166;303.4895616;359.2044999;303.4895616;5
143;217.7131511;303.4895616;359.1876114;303.4895616;5
144;219.1289586;303.4930493;359.1876114;303.4930493;5
145;220.5536254;303.4930493;359.1707341;303.4930493;5
146;221.987964;303.4965374;359.1876114;303.4965374;5
147;223.4085731;303.4965374;359.1707341;303.4965374;5
148;224.8287923;303.500026;359.1707341;303.500026;5
149;226.2530735;303.500026;359.1707341;303.500026;5
150;227.6748548;303.5035151;359.1876114;303.5035151;5
151;229.1090511;303.5087496;359.2044999;303.5087496;5
152;230.5438208;303.5052598;359.1707341;303.5052598;5
153;231.9624212;303.5087496;359.1876114;303.5087496;5
154;233.3861295;303.5104947;359.1876114;303.5104947;5
155;234.8113718;303.51224;359.1876114;303.51224;5
156;236.2353985;303.519222;359.1707341;303.519222;5
157;237.6546988;303.5157307;359.1876114;303.5157307;5
158;239.0762426;303.5139853;359.1876114;303.5139853;5
159;240.5022574;303.519222;359.1876114;303.519222;5
160;241.9474929;303.5209678;359.1707341;303.5209678;5
161;243.450725;303.5227138;359.1707341;303.5227138;5
162;244.8701392;303.5296987;359.1538681;303.5296987;5
163;246.2948544;303.5279523;359.1538681;303.5279523;5
164;247.720382;303.5279523;359.1538681;303.5279523;5
165;249.1447155;303.5314453;359.1370134;303.5314453;5
166;250.5654393;303.526206;359.1707341;303.526206;5
167;251.9863835;303.5296987;359.1707341;303.5296987;5
168;253.4040409;303.5366856;359.1538681;303.5366856;5
169;254.8273052;303.5384326;359.2044999;303.5384326;5
170;256.2558554;303.5436744;359.1707341;303.5436744;5
171;257.6772141;303.541927;359.2044999;303.541927;5
172;259.0956802;303.5471696;359.1876114;303.5471696;5
173;260.5135518;303.5489173;359.2044999;303.5489173;5
174;261.934701;303.589149;359.1876114;303.589149;5
175;263.3511697;303.5524132;359.1707341;303.5524132;5
176;264.7696919;303.5541613;359.2044999;303.5541613;5
177;266.1875226;303.5559095;359.1876114;303.5559095;5
178;267.6080981;303.5629037;359.1876114;303.5629037;5
179;269.0408792;303.5629037;359.1876114;303.5629037;5
180;270.4539551;303.5733985;359.1707341;303.5733985;5
181;271.8776758;303.5698998;359.2383108;303.5698998;5
182;273.3132595;303.5751481;359.1538681;303.5751481;5
183;274.730746;303.5751481;359.2044999;303.5751481;5
184;276.1505155;303.5803975;359.1707341;303.5803975;5
185;277.5708877;303.5838978;359.1876114;303.5838978;5
186;278.9950681;303.585648;359.1876114;303.585648;5
187;280.4180502;303.585648;359.1876114;303.585648;5
188;281.8422299;303.5908997;359.1876114;303.5908997;5
189;283.2577497;303.5926504;359.1707341;303.5926504;5
190;284.6815419;303.5926504;359.2044999;303.5926504;5
191;286.1088504;303.5961524;359.1707341;303.5961524;5
192;287.543673;303.6014062;359.2044999;303.6014062;5
193;288.9667508;303.6031577;359.1707341;303.6031577;5
194;290.3915154;303.6031577;359.1876114;303.6031577;5
195;291.810896;303.6049093;359.1876114;303.6049093;5
196;293.2284607;303.6119171;359.1707341;303.6119171;5
197;294.6517002;303.6136693;359.2044999;303.6136693;5
198;296.0728767;303.6171741;359.1707341;303.6171741;5
199;297.4850583;303.6259384;359.2213997;303.6259384;5
200;298.9092477;303.6259384;359.1876114;303.6259384;5
201;300.3267228;303.6294449;359.1538681;303.6294449;5
202;301.748119;303.6364595;359.1876114;303.6364595;5
203;303.1694764;303.6364595;359.1707341;303.6364595;5
204;304.5908511;303.6452304;359.1707341;303.6452304;5
205;306.0086601;303.646985;359.1707341;303.646985;5
206;307.4282305;303.6504945;359.1707341;303.6504945;5
207;308.8509324;303.6522494;359.1707341;303.6522494;5
208;310.2689907;303.6575149;359.1876114;303.6575149;5
209;311.6916995;303.6610258;359.1876114;303.6610258;5
210;313.1133224;303.6662931;359.1876114;303.6662931;5
211;314.5215399;303.6662931;359.1370134;303.6662931;5
212;315.943677;303.6715616;359.1538681;303.6715616;5
213;317.363675;303.6803447;359.1707341;303.6803447;5
214;318.7831906;303.6803447;359.1201698;303.6803447;5
215;320.2022855;303.6873735;359.1707341;303.6873735;5
216;321.622083;303.6926463;359.1707341;303.6926463;5
217;323.0458483;303.6926463;359.1538681;303.6926463;5
218;324.4579886;303.6961621;359.1370134;303.6961621;5
219;325.8826396;303.6996784;359.1538681;303.6996784;5
220;327.3087697;303.7049538;359.1538681;303.7049538;5
221;328.7605212;303.7067125;359.1876114;303.7067125;5
222;330.1740988;303.7102303;359.2044999;303.7102303;5
223;331.6129139;303.7137486;359.2213997;303.7137486;5
224;333.0401673;303.7207866;359.2383108;303.7207866;5
