;t;T1;T2;T;p
0;1.6267734;296.243048;377.6427262;296.243048;5
1;3.0476259;296.4202029;377.817614;296.4202029;5
2;4.4618175;296.5721043;377.9231234;296.5721043;5
3;5.8738539;296.7355958;378.0290697;296.7355958;5
4;7.2923253;296.9471824;378.0290697;296.9471824;5
5;8.6989409;297.2611311;378.2422875;297.2611311;5
6;10.1134171;297.6259818;378.3854262;297.6259818;5
7;11.5303313;298.0579738;378.6016468;298.0579738;5
8;12.9442412;298.5132542;378.4933081;298.5132542;5
9;14.3558079;298.9565239;378.4213363;298.9565239;5
10;15.7637359;299.3795797;378.8928121;299.3795797;5
11;17.1677624;299.7917906;378.6378618;299.7917906;5
12;18.5763985;300.2154554;378.5293701;300.2154554;5
13;19.9972623;300.6074541;378.4572969;300.6074541;5
14;21.4197166;300.9803787;378.4213363;300.9803787;5
16;24.2456331;301.7009345;351.804079;301.7009345;5
18;27.0749103;302.3042277;378.2779972;302.3042277;5
19;28.4885801;302.7050128;351.8545236;302.7050128;5
20;29.8892939;303.1071157;378.3137568;303.1071157;5
21;31.2939342;303.3313813;351.8292886;303.3313813;5
22;32.7033994;303.6189268;378.4213363;303.6189268;5
23;34.1166121;304.0324192;378.4572969;304.0324192;5
25;36.957133;304.6054267;378.3854262;304.6054267;5
26;38.3679477;304.8747675;378.4572969;304.8747675;5
27;39.7833292;305.102363;341.7322078;305.102363;5
31;45.4479446;306.1420545;378.4933081;306.1420545;5
33;48.266815;306.648739;378.4933081;306.648739;5
34;49.67501;306.7378182;349.9234726;306.7378182;5
35;51.0816075;307.1516757;378.6741282;307.1516757;5
37;53.9043419;307.6319304;378.6016468;307.6319304;5
38;55.3235354;307.718364;340.5479401;307.718364;5
39;56.7492608;308.0274034;378.7468154;308.0274034;5
40;58.1646838;308.333929;378.7468154;308.333929;5
41;59.5740549;308.5993505;379.0028588;308.5993505;5
42;60.9850763;308.7513597;378.8197097;308.7513597;5
43;62.3958361;308.9973582;340.6364415;308.9973582;5
44;63.8149779;309.2720642;378.8928121;309.2720642;5
45;65.2256233;309.5010749;379.0396464;309.5010749;5
46;66.6389664;309.6942567;379.0396464;309.6942567;5
47;68.0528247;309.9293889;378.8928121;309.9293889;5
48;69.4901144;310.1553745;379.2986508;310.1553745;5
49;70.902192;310.3902693;378.8562348;310.3902693;5
50;72.315127;310.5165974;378.6378618;310.5165974;5
51;73.7324065;310.841035;378.9294418;310.841035;5
52;75.1456697;310.9181192;378.9294418;310.9181192;5
53;76.5615491;311.2952265;378.9294418;311.2952265;5
54;77.9673078;311.5026617;378.8562348;311.5026617;5
55;79.3788464;311.5146351;378.7832366;311.5146351;5
56;80.7923238;311.8837866;379.0028588;311.8837866;5
58;83.6217211;312.2165032;378.966124;312.2165032;5
61;87.8650964;312.8928217;340.4677569;312.8928217;5
63;90.7015651;313.3599634;340.1101008;313.3599634;5
64;92.1035809;313.5669177;379.2614894;313.5669177;5
65;93.5067996;313.7546343;379.2614894;313.7546343;5
66;94.9326454;313.9648538;379.1133807;313.9648538;5
67;96.3562907;314.1688521;379.1503276;314.1688521;5
68;97.766416;314.3637828;379.1873279;314.3637828;5
69;99.1845923;314.4443285;378.966124;314.4443285;5
73;104.7042705;315.3448805;379.3358663;315.3448805;5
74;106.105594;315.5322679;379.2986508;315.5322679;5
75;107.5121915;315.7351975;379.2243818;315.7351975;5
76;108.918682;315.8970115;379.2614894;315.8970115;5
77;110.3252284;316.0885458;379.1503276;316.0885458;5
78;111.7328741;316.2960017;379.1503276;316.2960017;5
79;113.1379166;316.4585397;379.2243818;316.4585397;5
80;114.5445205;316.6455842;379.1873279;316.6455842;5
81;115.9630695;316.8399321;379.1503276;316.8399321;5
82;117.37696;317.017916;379.1133807;317.017916;5
83;118.7926544;317.2151543;379.41046;317.2151543;5
84;120.2011389;317.4078945;379.2243818;317.4078945;5
85;121.6140023;317.5960212;379.1873279;317.5960212;5
86;123.0159166;317.7794201;379.1873279;317.7794201;5
87;124.4320504;317.9734296;379.2243818;317.9734296;5
88;125.8413502;318.1378034;379.3358663;318.1378034;5
89;127.2619878;318.3283189;379.2614894;318.3283189;5
